Julio Rodriguez,Trea Turner,Aaron Judge,Ronald Acuna Jr.,Shohei Ohtani,Jose Ramirez,Juan Soto,Bobby Witt Jr.,Vladimir Guerrero Jr.,Kyle Tucker,Mookie Betts,Yordan Alvarez,Freddie Freeman,Manny Machado,Mike Trout
Nolan Arenado,Dylan Cease,Jose Altuve,Edwin Diaz,Pete Alonso,Michael Harris II,Shane McClanahan,Sandy Alcantara,Brandon Woodruff,Rafael Devers,Corbin Burnes,Bryce Harper,Austin Riley,Bo Bichette,Gerrit Cole
Paul Goldschmidt,Spencer Strider,Emmanuel Clase,Jordan Romano,Francisco Lindor,Aaron Nola,Josh Hader,Luis Robert,Randy Arozarena,Julio Urias,J.T. Realmuto,Jacob deGrom,Raisel Iglesias,Adolis Garcia,Liam Hendriks
Dansby Swanson,Teoscar Hernandez,Starling Marte,Andres Gimenez,Marcus Semien,Fernando Tatis Jr.,Matt Olson,Jazz Chisholm Jr.,Zack Wheeler,Ozzie Albies,Cedric Mullins,Justin Verlander,Ryan Pressly,Max Scherzer,Kyle Schwarber
Will Smith,Devin Williams,Shane Bieber,Nathaniel Lowe,Adley Rutschman,Felix Bautista,George Springer,Carlos Rodon,Triston McKenzie,Daulton Varsho,Kenley Jansen,Ryan Helsley,Byron Buxton,Zac Gallen,Xander Bogaerts
Corey Seager,Wander Franco,Joe Musgrove,Salvador Perez,Kevin Gausman,Oneil Cruz,Eloy Jimenez,Yu Darvish,Framber Valdez,Max Fried,Trevor Story,Alek Manoah,Luis Castillo,Camilo Doval,Brandon Lowe
Corbin Carroll,Tyler Glasnow,Tim Anderson,Alejandro Kirk,Nick Castellanos,Scott Barlow,Willson Contreras,Vinnie Pasquantino,Robbie Ray,David Bednar,Alex Bregman,Tommy Edman,Bryan Reynolds,Jorge Polanco,C.J. Cron
Luis Severino,MJ Melendez,Gunnar Henderson,Gregory Soto,Logan Webb,Taylor Ward,Amed Rosario,Kris Bryant,Carlos Correa,Joe Ryan,Clayton Kershaw,Willy Adames,Tyler Stephenson,Tyler O`Neill,Ke`Bryan Hayes
Freddy Peralta,Hunter Greene,William Contreras,Nestor Cortes,Josh Naylor,Chris Sale,Eugenio Suarez,Rhys Hoskins,Brandon Drury,Mitch Haniger,Lucas Giolito,Logan Gilbert,Jorge Mateo,Cristian Javier,Daniel Bard
Christian Yelich,Jose Abreu,George Kirby,Jose Miranda,Alexis Diaz,Joey Meneses,Jesus Luzardo,Blake Snell,Kyle Wright,Jeremy Pena,Jhoan Duran,Nick Lodolo,Gleyber Torres,Lance Lynn,Whit Merrifield
Tony Gonsolin,Clay Holmes,Giancarlo Stanton,Nico Hoerner,Max Muncy,Vaughn Grissom,Andres Munoz,Anthony Santander,Jorge Lopez,Dustin May,Pablo Lopez,Javier Baez,Frankie Montas,Anthony Rizzo,Andrew Vaughn
Paul Sewald,Harrison Bader,Chris Bassitt,Steven Kwan,Patrick Sandoval,Jeffrey Springs,Drew Rasmussen,Taylor Rogers,Cal Raleigh,Jake McCarthy,Jonathan India,Seiya Suzuki,Jose Berrios,Hunter Renfroe,Charlie Morton
Jon Gray,Ketel Marte,Pete Fairbanks,Jordan Montgomery,Trevor Rogers,Jordan Walker,Sean Murphy,Lance McCullers Jr.,Matt Chapman,Bailey Ober,Ryan Mountcastle,Josh Bell,Taijuan Walker,Luis Garcia,Christian Vazquez
Sonny Gray,Alec Bohm,Rowdy Tellez,Jorge Soler,Reid Detmers,Travis d`Arnaud,Brandon Nimmo,Josh Rojas,Ian Happ,Trey Mancini,Ty France,Jon Berti,Roansy Contreras,Christian Walker,Miles Mikolas
Jameson Taillon,Oscar Gonzalez,Jean Segura,Ranger Suarez,Seth Brown,Jeff McNeil,Bryan De La Cruz,Cody Bellinger,Jonah Heim,Manuel Margot,Jack Flaherty,J.D. Martinez,Josh Jung,Yasmani Grandal,Riley Greene
Mike Clevinger,Triston Casas,Alex Cobb,DJ LeMahieu,Alex Verdugo,Adalberto Mondesi,Luis Arraez,Edward Cabrera,Josiah Gray,James Karinchak,Jake Cronenworth,Marcus Stroman,Jose Leclerc,Thairo Estrada,Aaron Ashby
Ramon Laureano,Oswaldo Cabrera,Michael Kopech,Luis Urias,Trent Grisham,Brady Singer,Nathan Eovaldi,Bryson Stott,Bubba Thompson,Eduardo Rodriguez,Anthony Rendon,Dylan Floro,Joc Pederson,Randal Grichuk,Jose Urquidy
Mitch Garver,Francisco Alvarez,Charlie Blackmon,Brendan Donovan,Danny Jansen,Juan Yepez,Christopher Morel,Lourdes Gurriel Jr.,Patrick Wisdom,Dylan Carlson,Jarred Kelenic,Shea Langeliers,Hayden Wesneski,Seranthony Dominguez,Keibert Ruiz
Domingo Acevedo,Andrew Benintendi,Logan O`Hoppe,Lars Nootbaar,Spencer Torkelson,Justin Steele,Ryan McMahon,Andrew Heaney,Jurickson Profar,Luis Rengifo,Tyler Mahle,Sean Manaea,Garrett Mitchell,Aaron Civale,Chris Taylor
Gavin Lux,Grayson Rodriguez,Lane Thomas,Eric Lauer,Evan Phillips,Matt Mervis,Garrett Whitlock,Tyler Anderson,Brendan Rodgers,Merrill Kelly,Martin Perez,Nick Fortes,Royce Lewis,Austin Hays,Blake Treinen
Zach Eflin,Yoan Moncada,Yandy Diaz,Luis Garcia,Jake Fraley,Joey Bart,Braxton Garrett,Franmil Reyes,Tanner Scott,Carson Kelly,Bobby Miller,Gabriel Moreno,Joey Gallo,Carlos Carrasco,Vidal Brujan
Ross Stripling,Koudai Senga,Ha-Seong Kim,Cal Quantrill,Leody Taveras,Michael Conforto,Jose Suarez,Gary Sanchez,Wilmer Flores,Kolten Wong,Elias Diaz,Kyle Finnegan,Cody Morris,Eric Haase,MacKenzie Gore
Mitch Keller,Hunter Brown,Drey Jameson,Brayan Bello,Tyler Wells,Cade Cavalli,Eduardo Escobar,Rafael Montero,Akil Baddoo,Domingo German,Noah Syndergaard,Jesse Winker,Luis Ortiz,Austin Meadows,Brandon Marsh
Isaac Paredes,CJ Abrams,Luke Voit,Max Kepler,Zach McKinstry,Marcell Ozuna,Justin Turner,Nick Gordon,Keegan Thompson,Eddie Rosario,Giovanny Gallegos,Mark Canha,Bo Naylor,Tarik Skubal,Ian Anderson
Tommy Pham,Tylor Megill,Joe Mantiply,Harold Ramirez,David Peterson,Jimmy Herget,Bryce Elder,Craig Kimbrel,Santiago Espinal,Aroldis Chapman,Nick Pivetta,Jared Walsh,Jo Adell,Matt Carpenter,Ezequiel Tovar
Tanner Houck,Avisail Garcia,Jose Siri,Josh Lowe,Ken Waldichuk,Ramon Urias,Nolan Gorman,Alek Thomas,Brusdar Graterol,Kenta Maeda,Brett Baty,Alex Kirilloff,David Fletcher,David Robertson,J.D. Davis
Andrew McCutchen,Esteury Ruiz,Jesus Sanchez,Michael Wacha,Rodolfo Castro,Jose Quintana,Myles Straw,Mike Yastrzemski,Isiah Kiner-Falefa,Gavin Sheets,Elly De La Cruz,DL Hall,Joey Wentz,Cole Irvin,Steven Matz
Joey Votto,Michael Lorenzen,Oswald Peraza,Livan Soto,Nick Martinez,Alex Wood,A.J. Minter,Tyrone Taylor,AJ Pollock,Joey Wendle,Wil Myers,Josh Donaldson,Drew Waters,Gio Urshela,Miguel Vargas
Adam Frazier,Ryne Nelson,Drew Smyly,Jack Suwinski,Kyle Bradish,Sal Frelick,Bailey Falter,Elvis Andrus,Dean Kremer,Ryan Pepiot,Austin Nola,Mike Soroka,Matt Brash,JP Sears,Taylor Walls
Matthew Boyd,Adbert Alzolay,Michael Brantley,Spencer Turnbull,Edward Olivares,Anthony DeSclafani,Stone Garrett,Kutter Crawford,Jose Trevino,Luis Campusano,Jarren Duran,Marco Gonzales,Francisco Mejia,J.P. Crawford,Omar Narvaez
Chas McCormick,Trevor Larnach,Jason Adam,Zach Plesac,Robert Suarez,Yan Gomes,Corey Kluber,John Schreiber,German Marquez,Javier Assad,George Valera,Zac Veen,Ji Hwan Bae,Enrique Hernandez,Stephen Strasburg
Reese McGuire,Victor Robles,Kyle Hendricks,Glenn Otto,Kyle Stowers,James Paxton,Christian Bethancourt,Kyle Muller,Joe Barlow,James Kaprielian,Michael Busch,Spencer Steer,Kyle Farmer,Dane Dunning,A.J. Puk
JT Brubaker,Matt Barnes,Brandon Hughes,Matt Wallner,Chase Silseth,Alec Burleson,Kerry Carpenter,Nolan Jones,Garrett Cooper,Nick Madrigal,Max Meyer,Tony Kemp,Daniel Vogelbach,Jorge Alfaro,Jose Barrero
John Means,Adrian Morejon,Simeon Woods Richardson,Jordan Lyles,Geraldo Perdomo,Endy Rodriguez,Erik Swanson,Dylan Moore,Kyle Garlick,Alex Vesia,Tyler Soderstrom,David Peralta,Josh Smith,Daniel Lynch,Johnny Cueto
Willi Castro,Anthony Volpe,Michael Toglia,Ryan Jeffers,Owen Miller,Keston Hiura,Brandon Crawford,Andrew Painter,Eli Morgan,Kyle Isbel,Jack Leiter,Nick Pratto,Caleb Kilian,Nick Senzel,Cesar Hernandez
Evan Longoria,David Villar,Max Stassi,Louie Varland,Johan Oviedo,Wade Miley,Adam Wainwright,Brandon Pfaadt,Austin Slater,Andre Pallante,Quinn Priester,Matthew Liberatore,Graham Ashcraft,Paul Blackburn,Jonathan Loaisiga
Jose Alvarado,Josh Winder,Eric Hosmer,Dylan Bundy,Austin Voth,Taj Bradley,Trevor Stephan,Michael Massey,Hunter Dozier,LaMonte Wade Jr.,JJ Bleday,Daniel Espino,Raimel Tapia,Jonathan Schoop,Jordan Groshans
Carlos Santana,Otto Lopez,Brennen Davis,Brian Anderson,Matt Vierling,Yuli Gurriel,Zach Jackson,Sam Huff,Bryse Wilson,Elehuris Montero,Jeimer Candelario,Alexander Canario,Ji-Man Choi,Bobby Dalbec,Yusei Kikuchi
Robbie Grossman,Gavin Stone,Sixto Sanchez,Davis Martin,Austin Martin,Chris Martin,Pavin Smith,Kyle Lewis,Bryan Abreu,James McCann,Yency Almonte,Luis Patino,Nelson Velazquez,Jake Odorizzi,Cavan Biggio
Rowan Wick,Trevor Bauer,Orlando Arcia,Max Castillo,Emerson Hancock,Aledmys Diaz,Dermis Garcia,Tom Murphy,Brad Keller,Michael Chavis,Will Smith,Elieser Hernandez,Huascar Ynoa,Jacob Stallings,Ryan Vilade
Mark Melancon,Oscar Colas,Jakob Junis,Sean Bouchard,Cole Winn,Brock Burke,Trayce Thompson,Dany Jimenez,Nicky Lopez,Trevor Rosenthal,Corey Knebel,Jordan Lawlar,Mark Mathias,Michael King,Mike Zunino
Kyle Gibson,Eury Perez,Gavin Williams,Conner Capel,Terrin Vavra,Tanner Bibee,TJ Friedl,Abraham Toro,Jesus Aguilar,Adrian Houser,Nelson Cruz,Will Brennan,Matt Moore,Miguel Andujar,Michael A. Taylor
Martin Maldonado,Brice Turang,Kyle Freeland,Beau Brieske,Tejay Antone,Tyler Wade,Sam Haggerty,Alex Call,Emmanuel Rivera,Christian Arroyo,Hector Neris,Jordan Hicks,Carter Kieboom,Lou Trivino,Dustin Harris
Edmundo Sosa,Ryan Tepera,Yainer Diaz,Alan Trejo,Mark Vientos,Daniel Hudson,Kevin Newman,Andrew Knizner,Chris Flexen,Adam Duvall,Cristian Pache,Jackson Kowar,Griffin Canning,Jake Burger,Freddy Tarnok
Clarke Schmidt,Addison Barger,Gabriel Arias,Reyes Moronta,Diego Castillo,J.P. Feyereisen,Matt Manning,Rougned Odor,Harold Castro,Roberto Perez,Joey Wiemer,Adrian Sampson,Garrett Hampson,Diego Castillo,Reese Olson
Michael Fulmer,Kyle Harrison,Dillon Tate,Joe Jimenez,Austin Barnes,Ken Giles,Kyle Higashioka,Seth Lugo,Tyler Naquin,Rafael Ortega,Nate Pearson,Ezequiel Duran,Mike Brosseau,Nick Allen,Bryan Mata
Yonathan Daza,Lucas Sims,Kendall Graveman,Luis Cessa,Matt Thaiss,Sergio Alcantara,Gordon Graceffo,Edwin Rios,Garrett Crochet,Dominic Smith,Emilio Pagan,Austin Wells,Chris Paddack,Zach Davies,Touki Toussaint
Ian Kennedy,Adam Ottavino,Owen White,Mario Feliciano,Jonathan Hernandez,Shelby Miller,Trevor Williams,Kyle Manzardo,Genesis Cabrera,Donovan Solano,Peyton Burdick,Connor Joe,Estevan Florial,Luis Garcia,Ethan Small
Anthony Bass,Victor Caratini,Wandy Peralta,Nate Eaton,Michael Grove,Garrett Cleavinger,Brooks Raley,Mitch White,Nick Solak,Kirby Yates,Brandon Belt,Matt Strahm,Miguel Sano,Rich Hill,Pedro Leon
Aristides Aquino,Corey Julks,Tyler Gentry,Tyler Alexander,Cole Ragans,Dylan Lee,Zach Thompson,Adam Cimber,Kirby Snead,Joey Lucchesi,Tucker Davidson,Carl Edwards Jr.,Sam Hilliard,Aaron Hicks,Kris Bubic